,tweet,tweet_clean
4941,USER USER USER USER USER USER USER USER USER USER USER USER USER USER cebong produsen hoax...tukang bohong dan ingkar janji',cebong hoaks bohong ingkar janji
2090,USER Jan kenceng2 ketawanya kaya kunti aja',kunti
11930,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER NGOMONG,
8641,"Kelompok mana yg berhasil mengkapitalisasi Gatot, gua duga mrk-lah yg ketiban momenum. Entah bowo, kelompok cikeas atau jokowi.",berhasil mengkapitalisasi gue momentum bowo jokowi
6307,RT USER: woy tai kok gaada yang mau join \n\ntag closed agency basic',oi tai join tag agency basic
5846,Dia tahu mampus aku \xf0\x9f\x98\xad',
2028,USER USER Baru akan\n...\nBelum.....\nKalopun jadu itu dibantu 4 bank asing..\nJadi ???',bank asing
5690,USER bhahahahahahaa geblek ini. punya duit tapi giting salah beli produk keknya.',haha geblek duit ginting beli produk
4387,"USER \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\x80\x9dOh\xe3\x83\xbc!\xe2\x80\x9d Melirik ke kirinya. Dia melihat sosok yang tak asing baginya itu. Tetapi, dia kebingungan dalam mengingat sosok itu. \n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\x80\x9",xe xa x xe xa x xe xa x xe x x doh xe x xbc xe x x melirik sosok asing sosok xe xa x xe xa x xe xa x xe x x
9215,kristen sdh di tapir2in diharam-haramin !!,kristen in
7113,"Saat ada tagar #2019GantiPresiden semua lantang menentang tapi ketika sang presiden dikatakan kacung terdiam semua....ada apa?justru yg membela presiden mereka yg meneriakkan #2019GantiPresiden ..apa yg kmrin2 berteriak itu membenarkan ucapan anak itu,?",lantang menentang sang presiden kacung membela presiden anak
6600,"Provinsi Gorontalo dengan visi dan misi Gubernur menjadikan sektor perikanan dan kelautan sebagai salah satu program prioritas dalam peningkatan ekonomi kerakyatan, dimana pembangunan sektor perikanan dan kelautan diharapkan",provinsi gorontalo visi misi gubernur program prioritas ekonomi
3071,USER Dih najis bulepotan',ih najis belepotan
2418,"Wah, kasihan relawan komisaris bisa minder ketemu Boss orang bule. Brekekekekekek",kasihan relawan komisaris minder bos orang bule
5640,beneran sinting itu orang huf',sinting orang duh
516,Kebingungan akan apa yang bisa ditoleransi dan enggak bikin Gw mikir itulah alasan kenapa dalam Katolik ada Paus sebagai Wakil Kristus',bikin gue pikir alasan katolik paus wakil kristus
12326,"Anggota DPR dan DPD yang terhormat, apakah posting YM termasuk PENIPUAN? Quran 4:91 Bunuhlah 8:12 Penggallah",anggota dewan dewan daerah terhormat posting yusuf mansyur penipuan alquran
11080,"Hai guys. Gakerasa ya 70 Hari Lagi Penentuan Masa Depan Majalengka 5 Tahun kedepan, ; ð??« gkmau lg Pajak Mahal? ; ð??« gkmau lg susah Cari Kerjaan? ; ð??« gkmau lg berobat susah? ; ð??« gkmau lg biaya pendidikan mahal? ; ð??« gkmau lg jalan banyak rusak? ; ð??« gkmau lg E",hai guys penentuan majalengka pajak cari berobat jalan rusak e
12010,RT USER USER USER USER Dah pikun dia prokorupt,pikun pro koruptor
6767,"RT USER: bocah SMP jaman now,, colmek sampe becek \n\n#bahancoli #memek #colmek #colokmemek #jembut #memekbecek URL",bocah jaman now colok memek becek uniform resource locator
